Ticker,MSE,MAE,Match %,Different %,Pct Diff%,Edge,tradable
FICO,0.001586114871315658,0.024885697290301323,65.95174262734585,34.048257372654156,31,15,True
FITB,0.00040370013448409736,0.013620813377201557,72.11796246648794,27.882037533512065,44,22,True
FMC,0.0029512641485780478,0.02846590429544449,72.65415549597856,27.34584450402145,45,22,True
AA,0.0013531652512028813,0.027584033086895943,72.38605898123325,27.61394101876676,44,22,True
AAPL,0.000524864299222827,0.016240980476140976,69.70509383378017,30.29490616621984,39,19,True
ABBV,0.000318728678394109,0.012928019277751446,68.90080428954424,31.099195710455763,37,18,True
ABT,0.0002487476449459791,0.010527057573199272,72.92225201072387,27.07774798927614,45,22,True
ACGL,0.0002614862169139087,0.011436664499342442,74.53083109919572,25.46916890080429,49,24,True
ACN,0.0005095388041809201,0.015796903520822525,73.19034852546918,26.80965147453083,46,23,True
ACWI,0.03978980705142021,0.010491040535271168,46.11260053619303,53.88739946380697,7,0,False
ADBE,0.004184048157185316,0.02194184809923172,51.742627345844504,48.257372654155496,3,1,True
ALB,0.0016880999319255352,0.030236221849918365,71.31367292225201,28.686327077747993,42,21,True
ALK,0.001404569367878139,0.026022974401712418,71.58176943699732,28.418230563002684,43,21,True
ALLE,0.00037308421451598406,0.013996947556734085,68.63270777479893,31.36729222520107,37,18,True
AMAT,0.0010464913211762905,0.023038743063807487,71.0455764075067,28.9544235924933,42,21,True
AMC,0.0020349049009382725,0.02777671068906784,69.16890080428955,30.831099195710454,38,19,True
AMD,0.0017530651530250907,0.029665129259228706,68.90080428954424,31.099195710455763,37,18,True
AME,0.0002632079995237291,0.011431769467890263,76.40750670241286,23.59249329758713,52,26,True
AMGN,0.00038717009010724723,0.014015431515872478,73.19034852546918,26.80965147453083,46,23,True
AMP,0.0009275527554564178,0.016171377152204514,72.38605898123325,27.61394101876676,44,22,True
AMZN,0.0005175262922421098,0.01641923375427723,70.50938337801608,29.49061662198391,41,20,True
AON,0.0002857190265785903,0.011896507814526558,69.97319034852548,30.02680965147453,39,19,True
APA,0.0016525358660146594,0.02620992250740528,72.38605898123325,27.61394101876676,44,22,True
APO,0.0008339936030097306,0.019825967028737068,70.77747989276139,29.2225201072386,41,20,True
ARKG,0.000995868118479848,0.024522095918655396,72.65415549597856,27.34584450402145,45,22,True
ARKW,0.0006652140291407704,0.018772069364786148,73.45844504021449,26.541554959785525,46,23,True
ARKX,0.0005849415902048349,0.018645498901605606,69.84126984126983,30.158730158730158,39,19,True
AVGO,0.001433782046660781,0.025615351274609566,68.36461126005362,31.63538873994638,36,18,True
AVY,0.0002642641484271735,0.01170981302857399,73.45844504021449,26.541554959785525,46,23,True
AXON,0.0014394046738743782,0.025390371680259705,68.36461126005362,31.63538873994638,36,18,True
AXP,0.00048535148380324244,0.014854270033538342,72.65415549597856,27.34584450402145,45,22,True
BA,0.0006359915714710951,0.017053622752428055,70.77747989276139,29.2225201072386,41,20,True
BABA,0.0010763165773823857,0.024468565359711647,71.84986595174263,28.150134048257375,43,21,True
BAC,0.0005067549063824117,0.016523998230695724,63.00268096514745,36.99731903485255,26,13,True
BB,0.00253293220885098,0.03133155032992363,69.97319034852548,30.02680965147453,39,19,True
BIDU,0.001281404634937644,0.02669069543480873,68.63270777479893,31.36729222520107,37,18,True
BIO,0.0008737625321373343,0.020680129528045654,73.19034852546918,26.80965147453083,46,23,True
BKNG,0.0004827101656701416,0.015832697972655296,74.79892761394102,25.201072386058982,49,24,True
BMBL,0.003166001755744219,0.037066515535116196,68.55670103092784,31.443298969072163,37,18,True
BMY,0.0004228315956424922,0.015227705240249634,67.02412868632707,32.975871313672926,34,17,True
BR,0.0002714304137043655,0.011279057711362839,71.31367292225201,28.686327077747993,42,21,True
BX,0.0012479685246944427,0.02390369586646557,55.49597855227882,44.50402144772118,10,5,True
BYND,0.01714370585978031,0.07810935378074646,69.34865900383141,30.65134099616858,38,19,True
C,0.0005422674585133791,0.015911731868982315,68.36461126005362,31.63538873994638,36,18,True
CAG,0.00041279580909758806,0.01497621089220047,69.16890080428955,30.831099195710454,38,19,True
CAH,0.0004294345562811941,0.013627828098833561,67.29222520107238,32.707774798927616,34,17,True
CAR,0.0045162467285990715,0.03921549767255783,68.09651474530831,31.903485254691688,36,18,True
CAT,0.0005209707887843251,0.016443174332380295,67.828418230563,32.171581769437,35,17,True
CDE,0.0022581627126783133,0.03407326340675354,71.31367292225201,28.686327077747993,42,21,True
CE,0.0017212535021826625,0.028705356642603874,72.92225201072387,27.07774798927614,45,22,True
CEG,0.001407813630066812,0.02850833162665367,70.25316455696202,29.746835443037973,40,20,True
CELH,0.001715344376862049,0.027891084551811218,71.84986595174263,28.150134048257375,43,21,True
CF,0.0038213240914046764,0.024367889389395714,54.6916890080429,45.30831099195711,9,4,True
CHRW,0.0011538811959326267,0.019378388300538063,67.828418230563,32.171581769437,35,17,True
CIBR,0.0002904121938627213,0.012361551634967327,71.0455764075067,28.9544235924933,42,21,True
CINF,0.00026492963661439717,0.011557428166270256,72.38605898123325,27.61394101876676,44,22,True
CLSK,0.0061623575165867805,0.04854096472263336,74.78753541076487,25.21246458923513,49,24,True
CMCSA,0.0005126898176968098,0.016328971832990646,68.90080428954424,31.099195710455763,37,18,True
CMS,0.0001600187533767894,0.009336507879197598,70.77747989276139,29.2225201072386,41,20,True
CNC,0.0018744021654129028,0.02472219057381153,71.0455764075067,28.9544235924933,42,21,True
COF,0.0006614869926124811,0.01721837930381298,72.11796246648794,27.882037533512065,44,22,True
COP,0.0009092355612665415,0.019011497497558594,66.75603217158177,33.24396782841823,33,16,True
COST,0.00021377825760282576,0.010411693714559078,71.58176943699732,28.418230563002684,43,21,True
COUR,0.0016621212707832456,0.029970979318022728,68.78306878306879,31.216931216931215,37,18,True
CRCL,0.00962237361818552,0.07614831626415253,46.875,53.125,6,0,False
CRM,0.0006727958098053932,0.019209055230021477,70.24128686327077,29.75871313672922,40,20,True
CRWD,0.000945785257499665,0.02224327065050602,74.70817120622569,25.291828793774318,49,24,True
CSCO,0.00034164023236371577,0.012399161234498024,71.31367292225201,28.686327077747993,42,21,True
CSGP,0.0006730871391482651,0.01798234134912491,71.0455764075067,28.9544235924933,42,21,True
CTAS,0.0002771624713204801,0.011111323721706867,74.79892761394102,25.201072386058982,49,24,True
